Episode,Step,Agent,Health Score,Wear,Reward
1,10,RL Agent,99.51000213623047,0.009838494472205639,0.9898473024368286
1,20,RL Agent,99.0199966430664,0.01970001496374607,0.9800688028335571
1,30,RL Agent,98.5199966430664,0.029584666714072227,0.9700890779495239
1,40,RL Agent,98.02999877929688,0.03949252516031265,0.9603080153465271
1,50,RL Agent,97.52999877929688,0.0494237095117569,0.9503255486488342
1,60,RL Agent,97.02999877929688,0.05937829986214638,0.940341591835022
1,70,RL Agent,96.52999877929688,0.06935643404722214,0.9303563237190247
1,80,RL Agent,96.02999877929688,0.07935816794633865,0.9203696846961975
1,90,RL Agent,95.52999877929688,0.0893835797905922,0.910381555557251
1,100,RL Agent,95.02999877929688,0.09943277388811111,0.9003919959068298
1,110,RL Agent,94.5199966430664,0.10950580984354019,0.8902009129524231
1,120,RL Agent,94.0199966430664,0.1196027547121048,0.880208432674408
1,130,RL Agent,93.51000213623047,0.1297237128019333,0.8700144290924072
1,140,RL Agent,93.01000213623047,0.13986872136592865,0.8600189089775085
1,150,RL Agent,92.5,0.15003785490989685,0.8498217463493347
1,160,RL Agent,91.98999786376953,0.16023117303848267,0.8396230936050415
1,170,RL Agent,91.4800033569336,0.17044876515865326,0.8294229507446289
1,180,RL Agent,90.97000122070312,0.18069066107273102,0.8192211389541626
1,190,RL Agent,90.44999694824219,0.19095692038536072,0.8088175654411316
1,200,RL Agent,89.94000244140625,0.20124760270118713,0.798612654209137
1,210,RL Agent,89.41999816894531,0.21156275272369385,0.7882059812545776
1,220,RL Agent,88.9000015258789,0.22190241515636444,0.7777978181838989
1,230,RL Agent,88.38999938964844,0.2322666198015213,0.7675879597663879
1,240,RL Agent,87.87000274658203,0.242655411362648,0.7571765780448914
1,250,RL Agent,87.3499984741211,0.2530687749385834,0.7467634081840515
1,260,RL Agent,86.81999969482422,0.263506680727005,0.7361486554145813
1,270,RL Agent,86.30000305175781,0.27396926283836365,0.7257322669029236
1,280,RL Agent,85.77999877929688,0.2844565212726593,0.7153141498565674
1,290,RL Agent,85.25,0.29496848583221436,0.7046944499015808
1,300,RL Agent,84.72000122070312,0.3055051565170288,0.6940730810165405
1,310,RL Agent,84.19999694824219,0.31606656312942505,0.6836498379707336
1,320,RL Agent,83.66999816894531,0.3266526758670807,0.6730251312255859
1,330,RL Agent,83.13999938964844,0.3372635245323181,0.6623988151550293
1,340,RL Agent,82.61000061035156,0.34789910912513733,0.651770830154419
1,350,RL Agent,82.06999969482422,0.35855939984321594,0.6409411430358887
1,360,RL Agent,81.54000091552734,0.36924439668655396,0.6303098201751709
1,370,RL Agent,81.0,0.379954069852829,0.619476854801178
1,380,RL Agent,80.47000122070312,0.390688419342041,0.6088422536849976
1,390,RL Agent,79.93000030517578,0.4014474153518677,0.598006010055542
1,400,RL Agent,79.38999938964844,0.4122310280799866,0.5871680974960327
1,410,RL Agent,78.8499984741211,0.42303919792175293,0.5763286352157593
1,420,RL Agent,78.30999755859375,0.43387195467948914,0.5654874444007874
1,430,RL Agent,77.76000213623047,0.444729208946228,0.5544449687004089
1,440,RL Agent,77.22000122070312,0.45561090111732483,0.5436005592346191
1,450,RL Agent,76.66999816894531,0.46651700139045715,0.5325546860694885
1,460,RL Agent,76.12999725341797,0.4774474501609802,0.5217073559761047
1,470,RL Agent,75.58000183105469,0.48840221762657166,0.5106585025787354
1,480,RL Agent,75.02999877929688,0.4993812143802643,0.4996080696582794
1,490,RL Agent,74.4800033569336,0.5103842616081238,0.48855623602867126
1,500,RL Agent,73.93000030517578,0.521411657333374,0.4775027930736542
2,10,RL Agent,99.51000213623047,0.009838494472205639,0.9898473024368286
2,20,RL Agent,99.0199966430664,0.01970001496374607,0.9800688028335571
2,30,RL Agent,98.5199966430664,0.029584666714072227,0.9700890779495239
2,40,RL Agent,98.02999877929688,0.03949252516031265,0.9603080153465271
2,50,RL Agent,97.52999877929688,0.0494237095117569,0.9503255486488342
2,60,RL Agent,97.02999877929688,0.05937829986214638,0.940341591835022
2,70,RL Agent,96.52999877929688,0.06935643404722214,0.9303563237190247
2,80,RL Agent,96.02999877929688,0.07935816794633865,0.9203696846961975
2,90,RL Agent,95.52999877929688,0.0893835797905922,0.910381555557251
2,100,RL Agent,95.02999877929688,0.09943277388811111,0.9003919959068298
2,110,RL Agent,94.5199966430664,0.10950580984354019,0.8902009129524231
2,120,RL Agent,94.0199966430664,0.1196027547121048,0.880208432674408
2,130,RL Agent,93.51000213623047,0.1297237128019333,0.8700144290924072
2,140,RL Agent,93.01000213623047,0.13986872136592865,0.8600189089775085
2,150,RL Agent,92.5,0.15003785490989685,0.8498217463493347
2,160,RL Agent,91.98999786376953,0.16023117303848267,0.8396230936050415
2,170,RL Agent,91.4800033569336,0.17044876515865326,0.8294229507446289
2,180,RL Agent,90.97000122070312,0.18069066107273102,0.8192211389541626
2,190,RL Agent,90.44999694824219,0.19095692038536072,0.8088175654411316
2,200,RL Agent,89.94000244140625,0.20124760270118713,0.798612654209137
2,210,RL Agent,89.41999816894531,0.21156275272369385,0.7882059812545776
2,220,RL Agent,88.9000015258789,0.22190241515636444,0.7777978181838989
2,230,RL Agent,88.38999938964844,0.2322666198015213,0.7675879597663879
2,240,RL Agent,87.87000274658203,0.242655411362648,0.7571765780448914
2,250,RL Agent,87.3499984741211,0.2530687749385834,0.7467634081840515
2,260,RL Agent,86.81999969482422,0.263506680727005,0.7361486554145813
2,270,RL Agent,86.30000305175781,0.27396926283836365,0.7257322669029236
2,280,RL Agent,85.77999877929688,0.2844565212726593,0.7153141498565674
2,290,RL Agent,85.25,0.29496848583221436,0.7046944499015808
2,300,RL Agent,84.72000122070312,0.3055051565170288,0.6940730810165405
2,310,RL Agent,84.19999694824219,0.31606656312942505,0.6836498379707336
2,320,RL Agent,83.66999816894531,0.3266526758670807,0.6730251312255859
2,330,RL Agent,83.13999938964844,0.3372635245323181,0.6623988151550293
2,340,RL Agent,82.61000061035156,0.34789910912513733,0.651770830154419
2,350,RL Agent,82.06999969482422,0.35855939984321594,0.6409411430358887
2,360,RL Agent,81.54000091552734,0.36924439668655396,0.6303098201751709
2,370,RL Agent,81.0,0.379954069852829,0.619476854801178
2,380,RL Agent,80.47000122070312,0.390688419342041,0.6088422536849976
2,390,RL Agent,79.93000030517578,0.4014474153518677,0.598006010055542
2,400,RL Agent,79.38999938964844,0.4122310280799866,0.5871680974960327
2,410,RL Agent,78.8499984741211,0.42303919792175293,0.5763286352157593
2,420,RL Agent,78.30999755859375,0.43387195467948914,0.5654874444007874
2,430,RL Agent,77.76000213623047,0.444729208946228,0.5544449687004089
2,440,RL Agent,77.22000122070312,0.45561090111732483,0.5436005592346191
2,450,RL Agent,76.66999816894531,0.46651700139045715,0.5325546860694885
2,460,RL Agent,76.12999725341797,0.4774474501609802,0.5217073559761047
2,470,RL Agent,75.58000183105469,0.48840221762657166,0.5106585025787354
2,480,RL Agent,75.02999877929688,0.4993812143802643,0.4996080696582794
2,490,RL Agent,74.4800033569336,0.5103842616081238,0.48855623602867126
2,500,RL Agent,73.93000030517578,0.521411657333374,0.4775027930736542
3,10,RL Agent,99.51000213623047,0.009838494472205639,0.9898473024368286
3,20,RL Agent,99.0199966430664,0.01970001496374607,0.9800688028335571
3,30,RL Agent,98.5199966430664,0.029584666714072227,0.9700890779495239
3,40,RL Agent,98.02999877929688,0.03949252516031265,0.9603080153465271
3,50,RL Agent,97.52999877929688,0.0494237095117569,0.9503255486488342
3,60,RL Agent,97.02999877929688,0.05937829986214638,0.940341591835022
3,70,RL Agent,96.52999877929688,0.06935643404722214,0.9303563237190247
3,80,RL Agent,96.02999877929688,0.07935816794633865,0.9203696846961975
3,90,RL Agent,95.52999877929688,0.0893835797905922,0.910381555557251
3,100,RL Agent,95.02999877929688,0.09943277388811111,0.9003919959068298
3,110,RL Agent,94.5199966430664,0.10950580984354019,0.8902009129524231
3,120,RL Agent,94.0199966430664,0.1196027547121048,0.880208432674408
3,130,RL Agent,93.51000213623047,0.1297237128019333,0.8700144290924072
3,140,RL Agent,93.01000213623047,0.13986872136592865,0.8600189089775085
3,150,RL Agent,92.5,0.15003785490989685,0.8498217463493347
3,160,RL Agent,91.98999786376953,0.16023117303848267,0.8396230936050415
3,170,RL Agent,91.4800033569336,0.17044876515865326,0.8294229507446289
3,180,RL Agent,90.97000122070312,0.18069066107273102,0.8192211389541626
3,190,RL Agent,90.44999694824219,0.19095692038536072,0.8088175654411316
3,200,RL Agent,89.94000244140625,0.20124760270118713,0.798612654209137
3,210,RL Agent,89.41999816894531,0.21156275272369385,0.7882059812545776
3,220,RL Agent,88.9000015258789,0.22190241515636444,0.7777978181838989
3,230,RL Agent,88.38999938964844,0.2322666198015213,0.7675879597663879
3,240,RL Agent,87.87000274658203,0.242655411362648,0.7571765780448914
3,250,RL Agent,87.3499984741211,0.2530687749385834,0.7467634081840515
3,260,RL Agent,86.81999969482422,0.263506680727005,0.7361486554145813
3,270,RL Agent,86.30000305175781,0.27396926283836365,0.7257322669029236
3,280,RL Agent,85.77999877929688,0.2844565212726593,0.7153141498565674
3,290,RL Agent,85.25,0.29496848583221436,0.7046944499015808
3,300,RL Agent,84.72000122070312,0.3055051565170288,0.6940730810165405
3,310,RL Agent,84.19999694824219,0.31606656312942505,0.6836498379707336
3,320,RL Agent,83.66999816894531,0.3266526758670807,0.6730251312255859
3,330,RL Agent,83.13999938964844,0.3372635245323181,0.6623988151550293
3,340,RL Agent,82.61000061035156,0.34789910912513733,0.651770830154419
3,350,RL Agent,82.06999969482422,0.35855939984321594,0.6409411430358887
3,360,RL Agent,81.54000091552734,0.36924439668655396,0.6303098201751709
3,370,RL Agent,81.0,0.379954069852829,0.619476854801178
3,380,RL Agent,80.47000122070312,0.390688419342041,0.6088422536849976
3,390,RL Agent,79.93000030517578,0.4014474153518677,0.598006010055542
3,400,RL Agent,79.38999938964844,0.4122310280799866,0.5871680974960327
3,410,RL Agent,78.8499984741211,0.42303919792175293,0.5763286352157593
3,420,RL Agent,78.30999755859375,0.43387195467948914,0.5654874444007874
3,430,RL Agent,77.76000213623047,0.444729208946228,0.5544449687004089
3,440,RL Agent,77.22000122070312,0.45561090111732483,0.5436005592346191
3,450,RL Agent,76.66999816894531,0.46651700139045715,0.5325546860694885
3,460,RL Agent,76.12999725341797,0.4774474501609802,0.5217073559761047
3,470,RL Agent,75.58000183105469,0.48840221762657166,0.5106585025787354
3,480,RL Agent,75.02999877929688,0.4993812143802643,0.4996080696582794
3,490,RL Agent,74.4800033569336,0.5103842616081238,0.48855623602867126
3,500,RL Agent,73.93000030517578,0.521411657333374,0.4775027930736542
4,10,RL Agent,99.51000213623047,0.009838494472205639,0.9898473024368286
4,20,RL Agent,99.0199966430664,0.01970001496374607,0.9800688028335571
4,30,RL Agent,98.5199966430664,0.029584666714072227,0.9700890779495239
4,40,RL Agent,98.02999877929688,0.03949252516031265,0.9603080153465271
4,50,RL Agent,97.52999877929688,0.0494237095117569,0.9503255486488342
4,60,RL Agent,97.02999877929688,0.05937829986214638,0.940341591835022
4,70,RL Agent,96.52999877929688,0.06935643404722214,0.9303563237190247
4,80,RL Agent,96.02999877929688,0.07935816794633865,0.9203696846961975
4,90,RL Agent,95.52999877929688,0.0893835797905922,0.910381555557251
4,100,RL Agent,95.02999877929688,0.09943277388811111,0.9003919959068298
4,110,RL Agent,94.5199966430664,0.10950580984354019,0.8902009129524231
4,120,RL Agent,94.0199966430664,0.1196027547121048,0.880208432674408
4,130,RL Agent,93.51000213623047,0.1297237128019333,0.8700144290924072
4,140,RL Agent,93.01000213623047,0.13986872136592865,0.8600189089775085
4,150,RL Agent,92.5,0.15003785490989685,0.8498217463493347
4,160,RL Agent,91.98999786376953,0.16023117303848267,0.8396230936050415
4,170,RL Agent,91.4800033569336,0.17044876515865326,0.8294229507446289
4,180,RL Agent,90.97000122070312,0.18069066107273102,0.8192211389541626
4,190,RL Agent,90.44999694824219,0.19095692038536072,0.8088175654411316
4,200,RL Agent,89.94000244140625,0.20124760270118713,0.798612654209137
4,210,RL Agent,89.41999816894531,0.21156275272369385,0.7882059812545776
4,220,RL Agent,88.9000015258789,0.22190241515636444,0.7777978181838989
4,230,RL Agent,88.38999938964844,0.2322666198015213,0.7675879597663879
4,240,RL Agent,87.87000274658203,0.242655411362648,0.7571765780448914
4,250,RL Agent,87.3499984741211,0.2530687749385834,0.7467634081840515
4,260,RL Agent,86.81999969482422,0.263506680727005,0.7361486554145813
4,270,RL Agent,86.30000305175781,0.27396926283836365,0.7257322669029236
4,280,RL Agent,85.77999877929688,0.2844565212726593,0.7153141498565674
4,290,RL Agent,85.25,0.29496848583221436,0.7046944499015808
4,300,RL Agent,84.72000122070312,0.3055051565170288,0.6940730810165405
4,310,RL Agent,84.19999694824219,0.31606656312942505,0.6836498379707336
4,320,RL Agent,83.66999816894531,0.3266526758670807,0.6730251312255859
