Scenario,Regime,Metric,Seed_13,Seed_42,Seed_87,Seed_123,Seed_2024,Mean,SD,CI95_Lower,CI95_Upper
Scenario_A,few_shot,macro_f1,0.4011976045453763,0.25373134309044326,0.23664122118979078,0.26470588215441176,0.20634920618216174,0.27252505143243677,0.07522941674224909,0.1791303680069401,0.36591973485793344
Scenario_A,few_shot,auroc,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5
Scenario_A,few_shot,reward,0.7010500431060791,0.7048068046569824,0.6995803117752075,0.6907218098640442,0.690144419670105,0.6972606778144836,0.00652077344719728,0.689165366190881,0.7053559894380863
Scenario_A,zero_shot,macro_f1,0.24812030056159193,0.25373134309044326,0.40828402342221903,0.26470588215441176,0.5783730153621641,0.35064291291816596,0.1435891786022494,0.1723819817609951,0.5289038440753369
Scenario_A,zero_shot,auroc,0.5,0.5,0.5,0.5,0.5831600831600832,0.5166320166320166,0.0371903197920963,0.4704615384615385,0.5628024948024948
Scenario_A,zero_shot,reward,0.6907293796539307,0.6879192590713501,0.699192225933075,0.7026422023773193,0.6931337118148804,0.6947233557701111,0.006071521167076536,0.6871857751019912,0.7022609364382311
Scenario_B,few_shot,macro_f1,0.469496020834744,0.42984285875684264,0.04761904757278911,0.38666666639555547,0.32432432409007483,0.33158978353000124,0.16762862664698955,0.12348472042170103,0.5396948466383015
Scenario_B,few_shot,auroc,0.515625,0.5153609831029186,0.5,0.7653061224489796,0.25263157894736843,0.5097847368998533,0.181369697985135,0.28462061547198314,0.7349488583277234
Scenario_B,few_shot,reward,0.2824150025844574,0.2762157917022705,0.2880523204803467,0.2805576026439667,0.2865919768810272,0.2827665388584137,0.004756278184535216,0.27686178624215696,0.2886712914746704
Scenario_B,zero_shot,macro_f1,0.03846153842381657,0.4196650634321453,0.5923913038625428,0.49238578654703796,0.48453608221933775,0.4054879548969761,0.21426740432736516,0.13948248440236471,0.6714934253915874
Scenario_B,zero_shot,auroc,0.5,0.41551459293394777,0.6526315789473683,0.49489795918367346,0.49473684210526314,0.5115561946340506,0.08634261169680267,0.4043648692887786,0.6187475199793225
Scenario_B,zero_shot,reward,0.28823667764663696,0.28133925795555115,0.2796000838279724,0.2653593420982361,0.28141504526138306,0.2791900813579559,0.008409336765247268,0.26875018458593186,0.28962997812998
Scenario_C,few_shot,macro_f1,0.48717948692465485,0.4949494946945209,0.02912621356338957,0.4949494946945209,0.4949494946945209,0.4002308369143214,0.20748107239342584,0.14265035959441652,0.6578113142342262
Scenario_C,few_shot,auroc,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5
Scenario_C,few_shot,reward,0.9246922135353088,0.9256311655044556,0.9489853382110596,0.8871056437492371,0.9527636766433716,0.9278356075286865,0.02618391766731294,0.8953291917238623,0.9603420233335108
Scenario_C,zero_shot,macro_f1,0.48717948692465485,0.4949494946945209,0.4923857865470896,0.01960784311764706,0.01960784311764706,0.30274609088031185,0.2584838364767852,-0.018152529948679996,0.6236447117093037
Scenario_C,zero_shot,auroc,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5
Scenario_C,zero_shot,reward,0.9276725053787231,0.9498537182807922,0.9369757175445557,0.9443580508232117,0.9421193599700928,0.940195870399475,0.008389005297988436,0.9297812144312542,0.9506105263676959
