Episode,Reward,Smoothed_Reward
1,82.639145,82.63914489746094
2,85.14551,83.89232635498047
3,84.27813,84.02092742919922
4,84.9829,84.26142120361328
5,85.03034,84.41520538330079
6,84.9209,84.87155609130859
7,85.19866,84.88218688964844
8,84.57263,84.94108734130859
9,85.43406,85.03131866455078
10,85.614395,85.14812927246093
11,84.97724,85.15939788818359
12,85.27747,85.17516021728515
13,84.73981,85.2085952758789
14,84.71238,85.0642593383789
15,84.61232,84.86384429931641
16,85.01063,84.87052154541016
17,84.00339,84.61570434570312
18,85.92256,84.85225524902344
19,84.11369,84.73251800537109
20,86.17028,85.04411010742187
21,85.77949,85.19788208007813
22,85.31661,85.46052703857421
23,84.59196,85.19440612792968
24,84.61478,85.29462280273438
25,83.933334,84.84723358154297
26,84.28114,84.54756469726563
27,84.57885,84.40001220703125
28,85.50555,84.58273010253906
29,85.44397,84.74856872558594
30,84.57605,84.87711181640626
31,85.20527,85.06193695068359
32,84.615135,85.06919403076172
33,85.8311,85.13430480957031
34,85.56029,85.157568359375
35,85.539215,85.35020141601562
36,84.9663,85.30240783691406
37,85.251724,85.42972564697266
38,85.986145,85.46073455810547
39,84.89399,85.32747497558594
40,85.149734,85.24957885742188
41,84.95205,85.246728515625
42,84.73226,85.14283599853516
43,85.321175,85.00984191894531
44,84.49785,84.9306137084961
45,84.83202,84.86707153320313
46,83.94958,84.6665771484375
47,82.40769,84.20166320800782
48,85.27138,84.19170379638672
49,85.05261,84.30265655517579
50,83.626686,84.06158905029297
51,85.13442,84.29855804443359
52,85.11794,84.84060821533203
53,83.64753,84.51583862304688
54,85.00906,84.50712890625
55,83.159325,84.41365661621094
56,85.049576,84.39668731689453
57,85.62601,84.49830017089843
58,84.40787,84.6503677368164
59,84.41995,84.53254547119141
60,83.01849,84.50437927246094
61,85.12638,84.51974029541016
