Scenario,Regime,Macro_F1_Mean,Macro_F1_SD,ROC_AUC_Mean,ROC_AUC_SD
Scenario_A,few_shot,0.40417238675224443,0.01450612706443809,0.473128188473457,0.04994072537787353
Scenario_A,zero_shot,0.3945322918568941,0.020761937779653624,0.4553173926575461,0.06775149217265745
Scenario_B,few_shot,0.5764525488827948,0.024399593470957163,0.6107412407000254,0.04341621056754633
Scenario_B,zero_shot,0.49472918246535047,0.004733597523597986,0.46585184556436304,0.024226756097510755
Scenario_C,few_shot,0.3742584321793667,0.0615606637844205,0.20617866127075932,0.005547274415122053
Scenario_C,zero_shot,0.3952024287503094,0.06310597689205368,0.21019085416865685,0.005925753551111438
